attendance,study_hours,assignment_delay,lms_usage,performance,burnout_level
79,4,0,4,80,Low
93,2,1,1,72,Low
86,3,5,4,50,Medium
67,1,0,7,72,Low
80,4,5,3,64,Medium
55,0,2,3,49,Medium
69,2,0,4,84,Low
78,6,2,4,96,Low
63,4,1,3,58,Low
79,6,3,8,86,Medium
60,6,0,6,80,Low
79,4,0,3,70,Low
70,3,0,6,82,Low
75,7,2,4,56,Medium
74,6,2,8,100,Low
78,1,0,4,42,Medium
79,6,6,3,57,Medium
89,4,0,6,73,Low
74,2,1,4,42,Medium
88,5,0,8,100,Low
92,3,1,7,87,Low
65,2,1,8,54,Medium
68,4,2,1,52,Low
81,2,0,3,73,Low
78,5,2,4,76,Low
69,4,3,3,75,Low
96,3,0,7,67,Low
70,7,1,3,74,Low
76,3,4,1,40,Medium
79,2,0,7,67,Low
68,3,3,6,72,Low
94,7,1,7,92,Low
62,4,5,3,40,Medium
71,3,0,4,46,Medium
77,4,4,6,77,Low
94,6,3,6,85,Low
68,1,0,7,77,Low
84,4,0,9,65,Low
68,7,5,4,72,Medium
79,5,3,9,46,Medium
84,1,4,2,47,Medium
73,1,0,6,52,Medium
71,5,2,3,71,Low
79,3,3,5,63,Medium
82,4,2,8,76,Medium
48,2,3,10,52,Medium
73,3,4,8,83,Medium
75,7,6,6,71,Medium
57,8,0,4,75,Low
79,4,5,2,53,Medium
81,5,0,7,54,Medium
78,8,4,8,88,Low
83,7,1,10,93,Low
78,2,2,4,68,Medium
78,2,0,1,53,Medium
91,3,3,3,67,Medium
91,3,0,5,64,Low
79,6,2,6,70,Low
78,2,2,4,40,Medium
61,4,0,4,77,Low
85,4,3,3,64,Low
77,3,6,4,51,Medium
80,6,6,2,40,Medium
78,2,2,4,49,Medium
79,5,4,5,65,Medium
97,1,0,1,70,Low
73,4,2,7,76,Low
80,5,5,4,50,Medium
90,3,4,2,68,Medium
77,5,1,6,99,Low
73,1,3,7,57,Low
93,5,2,5,99,Low
70,5,2,6,65,Low
78,8,0,6,94,Low
76,4,5,4,71,Low
64,4,3,2,58,Low
80,1,1,7,59,Medium
75,3,1,9,66,Medium
77,3,0,6,75,Low
77,6,2,5,100,Low
71,3,3,5,48,Medium
77,3,0,3,60,Low
76,8,2,4,97,Low
71,2,1,4,53,Medium
83,5,3,6,79,Low
69,5,0,5,97,Low
91,5,0,6,87,Low
71,1,3,6,40,Medium
77,2,3,3,48,Medium
73,4,0,1,53,Low
70,1,2,1,41,Medium
83,5,0,1,55,Low
71,3,5,1,70,Medium
69,5,1,6,84,Low
79,3,1,1,55,Medium
78,7,0,5,93,Low
78,3,0,5,71,Low
76,6,3,3,73,Low
83,2,1,8,74,Low
68,7,4,4,82,Medium
64,4,4,7,41,Medium
78,4,2,5,50,Medium
70,1,1,4,50,Medium
67,4,4,4,55,Medium
93,0,4,10,70,Medium
57,4,3,7,53,Medium
76,3,1,2,61,Medium
59,7,0,4,81,Low
82,4,4,5,59,Medium
85,3,4,4,85,Low
89,2,2,6,86,Medium
75,3,1,8,67,Medium
66,2,1,7,67,Medium
56,5,2,6,82,Low
71,5,0,4,60,Low
70,3,0,8,64,Medium
84,4,2,6,73,Low
84,4,0,5,86,Low
71,2,3,3,58,Medium
63,6,1,6,60,Medium
63,1,5,5,52,Medium
74,3,0,5,41,Medium
92,1,2,9,92,Low
84,7,0,5,95,Low
74,7,3,1,84,Low
65,7,5,4,90,Medium
70,5,2,3,50,Low
89,6,4,8,75,Medium
74,2,2,4,64,Low
56,5,3,2,62,Low
70,3,0,9,89,Low
62,0,1,3,42,Medium
79,3,2,4,53,Medium
79,5,4,4,85,Low
73,6,3,7,82,Medium
65,6,4,5,84,Medium
92,3,1,6,100,Low
70,8,5,4,69,Medium
94,1,1,8,77,Low
72,2,0,6,69,Low
53,9,3,5,87,Low
75,4,4,3,41,Medium
88,5,1,5,92,Low
85,6,3,6,100,Low
68,2,3,10,65,Medium
67,4,6,5,60,Medium
62,4,3,5,63,Low
59,8,2,4,72,Low
75,7,5,1,65,Medium
68,6,1,5,98,Low
63,6,4,4,53,Medium
70,5,4,7,78,Low
80,8,0,4,92,Low
82,4,0,7,92,Low
82,4,3,2,75,Low
67,0,4,10,66,Medium
81,4,4,3,68,Low
