attendance,study_hours,assignment_delay,lms_usage,performance,burnout_level
80,4,3,8,72,Medium
91,5,1,6,87,Low
77,1,0,4,46,Low
66,2,4,5,40,Medium
70,4,0,6,75,Low
69,7,2,3,87,Low
77,1,0,5,57,Low
74,4,0,4,71,Low
78,1,2,4,40,Medium
85,5,1,4,83,Low
70,4,0,3,73,Low
74,6,3,4,76,Medium
75,6,0,7,99,Low
76,1,2,6,54,Medium
67,3,3,6,51,Medium
76,5,1,4,75,Low
78,4,2,5,61,Low
72,3,2,6,70,Medium
78,4,0,5,79,Low
73,4,2,3,66,Medium
83,3,4,2,46,Medium
65,3,2,4,44,Medium
64,5,1,8,81,Low
83,2,2,8,55,Medium
78,5,0,2,80,Low
78,5,1,5,83,Low
94,5,0,6,91,Low
87,3,3,6,66,Medium
73,3,1,3,57,Low
78,5,2,8,84,Medium
81,3,0,6,73,Low
80,4,1,2,63,Low
77,2,2,6,50,Medium
76,2,3,6,55,Medium
61,3,3,6,54,High
81,6,3,6,82,Low
67,4,1,5,80,Low
82,2,1,7,65,Low
68,5,1,5,77,Low
96,5,0,5,90,Low
67,4,3,7,59,Medium
70,3,5,6,40,High
96,6,0,4,100,Low
79,5,1,5,65,Low
72,2,4,2,40,Medium
89,2,4,5,42,Medium
77,3,2,4,57,Medium
91,2,5,1,40,High
78,3,2,4,54,Medium
79,3,3,6,63,Medium
67,3,3,6,54,Medium
88,3,3,5,58,Medium
83,5,4,5,72,Medium
78,4,2,6,67,Medium
65,2,4,7,46,High
75,3,2,4,61,Medium
67,4,3,4,52,Medium
77,3,1,5,58,Low
68,4,2,8,77,Low
75,2,2,4,50,Medium
80,6,2,6,91,Low
77,4,2,3,62,Medium
90,5,5,3,64,Medium
97,3,1,4,59,Low
67,4,3,9,76,Medium
66,5,0,9,99,Low
58,6,2,7,74,Low
75,4,1,6,70,Low
76,5,3,3,57,Medium
78,3,4,5,56,Medium
96,7,2,7,100,Low
65,5,4,1,43,Medium
72,5,4,5,72,Medium
58,4,3,5,45,Medium
62,5,3,3,56,Medium
74,5,1,6,80,Low
74,2,1,3,59,Medium
68,4,2,5,67,Medium
70,3,2,1,40,Medium
91,4,3,6,87,Medium
74,3,0,5,65,Low
69,2,5,7,40,High
76,3,4,6,47,Medium
66,2,3,9,47,Medium
68,3,1,3,55,Low
78,4,2,3,59,Medium
80,3,2,7,59,Medium
68,5,1,1,57,Low
78,3,3,2,46,Medium
68,4,1,4,71,Low
83,2,3,8,46,Medium
81,4,3,4,62,Medium
87,4,3,4,61,Medium
79,3,2,9,77,Medium
87,3,0,3,58,Low
75,7,2,5,95,Low
77,5,0,7,93,Low
81,7,2,5,91,Low
83,3,2,4,62,Medium
85,3,2,3,55,Medium
83,3,3,8,68,Medium
67,2,0,8,70,Low
78,2,6,5,40,High
80,4,1,6,86,Low
91,3,1,5,71,Low
58,6,2,4,68,Low
83,4,0,2,70,Low
72,2,2,4,40,Medium
73,5,5,7,64,Medium
100,4,2,5,78,Low
69,3,2,4,50,Medium
72,6,0,7,100,Low
72,3,0,3,56,Low
84,6,3,3,73,Low
63,5,2,4,71,Low
71,6,0,6,97,Low
78,2,3,5,45,Medium
68,2,0,6,55,Medium
54,7,2,5,80,Low
75,6,2,5,81,Low
78,1,0,6,58,Low
75,5,1,3,75,Low
79,1,4,6,40,High
92,6,0,2,88,Low
